geo_name,region,area_land
Howard County,2,1225706425
Humboldt County,2,1124967281
Ida County,2,1117599646
Iowa County,2,1518916014
Jackson County,2,1647332960
Jasper County,2,1891779160
Jefferson County,2,1127964789
Johnson County,2,1590355537
Jones County,2,1490851138
Keokuk County,2,1500067240
Kossuth County,2,2519332852
Lee County,2,1340366450
Linn County,2,1856710588
Louisa County,2,1040569636
Lucas County,2,1115231642
Lyon County,2,1522007130
Madison County,2,1452999410
Mahaska County,2,1478527687
Marion County,2,1436237259
Marshall County,2,1482770678
Mills County,2,1132956394
Mitchell County,2,1215049026
Monona County,2,1797638295
Monroe County,2,1123316981
Montgomery County,2,1098405666
Muscatine County,2,1133040484
O'Brien County,2,1484154091
Osceola County,2,1032587437
Page County,2,1385494422
Palo Alto County,2,1460349241
Plymouth County,2,2234881736
Pocahontas County,2,1495047042
Polk County,2,1486121332
Pottawattamie County,2,2461213949
Poweshiek County,2,1514967877
Ringgold County,2,1386933932
Sac County,2,1489272900
Scott County,2,1186444226
Shelby County,2,1530110414
Sioux County,2,1989969635
Story County,2,1483592867
Tama County,2,1867411117
Taylor County,2,1377618597
Union County,2,1097235730
Van Buren County,2,1255597645
Wapello County,2,1118443326
Warren County,2,1475844938
Washington County,2,1473276393
Wayne County,2,1360874542
Webster County,2,1853443769
Winnebago County,2,1037261544
Winneshiek County,2,1786750121
Woodbury County,2,2260629616
Worth County,2,1036314948
Wright County,2,1503286817
Allen County,2,1295779123
Anderson County,2,1501276302
Atchison County,2,1116729659
Barber County,2,2937235546
Barton County,2,2319075093
Bourbon County,2,1645861744
Brown County,2,1478551884
Butler County,2,3703329246
Chase County,2,2002216830
Chautauqua County,2,1654693205
Cherokee County,2,1521793550
Cheyenne County,2,2641495949
Clark County,2,2524286181
Clay County,2,1671322093
Cloud County,2,1852726587
Coffey County,2,1623784229
Comanche County,2,2041681413
Cowley County,2,2915679697
Crawford County,2,1527461827
Decatur County,2,2314199313
Dickinson County,2,2193906542
Doniphan County,2,1018914848
Douglas County,2,1180699859
Edwards County,2,1610697086
Elk County,2,1668637984
Ellis County,2,2330762469
Ellsworth County,2,1854034693
Finney County,2,3372079580
Ford County,2,2844508251
Franklin County,2,1480840246
Geary County,2,996156662
Gove County,2,2775599078
Graham County,2,2327160854
Grant County,2,1488724794
Gray County,2,2250356182
Greeley County,2,2016176814
Greenwood County,2,2961132699
Hamilton County,2,2580942885
Harper County,2,2075276375
Harvey County,2,1397957172
Haskell County,2,1495773065
Hodgeman County,2,2227369168
Jackson County,2,1699594134
Jefferson County,2,1379359803
Jewell County,2,2356321996
Johnson County,2,1226034453
Kearny County,2,2254697108
Kingman County,2,2236099115
Kiowa County,2,1871626797
Labette County,2,1671305414
Lane County,2,1858200248
Leavenworth County,2,1198726879
Lincoln County,2,1863226611
Linn County,2,1538604962
Logan County,2,2779042457
Lyon County,2,2194947808
McPherson County,2,2326520077
Marion County,2,2445700985
Marshall County,2,2331463499
Meade County,2,2533234935
Miami County,2,1490955548
Mitchell County,2,1817632788
Montgomery County,2,1666728264
Morris County,2,1800763909
Morton County,2,1889993253
Nemaha County,2,1858126462
Neosho County,2,1480106485
Ness County,2,2783590502
Norton County,2,2274357034
Osage County,2,1827283988
Osborne County,2,2311573881
Ottawa County,2,1866689468
Pawnee County,2,1953531750
Phillips County,2,2294410181
Pottawatomie County,2,2178235871
Pratt County,2,1903757176
Rawlins County,2,2769775797
Reno County,2,3251332369
Republic County,2,1857981647
Rice County,2,1880944775
Riley County,2,1579300177
Rooks County,2,2306470146
Rush County,2,1858997569
Russell County,2,2295402664
Saline County,2,1865373525
Scott County,2,1858430303
Sedgwick County,2,2583543968
Seward County,2,1656290756
Shawnee County,2,1408995941
Sheridan County,2,2320518450
Sherman County,2,2735199253
Smith County,2,2319243495
Stafford County,2,2051389748
Stanton County,2,1762086193
Stevens County,2,1883679100
Sumner County,2,3061212453
Thomas County,2,2783425324
Trego County,2,2303736575
Wabaunsee County,2,2057231892
Wallace County,2,2366348080
Washington County,2,2317406254
Wichita County,2,1861082136
Wilson County,2,1477377048
Woodson County,2,1289347304
Wyandotte County,2,392642353
Adair County,3,1049677374
Allen County,3,891830109
Anderson County,3,522742422
Ballard County,3,638843574
Barren County,3,1262724748
Bath County,3,722067811
Bell County,3,929806795
Boone County,3,638067340
Bourbon County,3,750369577
Boyd County,3,414046208
Boyle County,3,466634989
Bracken County,3,532533237
Breathitt County,3,1275344480
Breckinridge County,3,1468969244
Bullitt County,3,769288200
Butler County,3,1103562315
Caldwell County,3,893004660
Calloway County,3,997200826
Campbell County,3,391886628
Carlisle County,3,490632430
Carroll County,3,332992509
Carter County,3,1060589533
Casey County,3,1150549958
Christian County,3,1858324233
Clark County,3,653877332
Clay County,3,1215344973
Clinton County,3,510864195
Crittenden County,3,932270911
Cumberland County,3,790416904
Daviess County,3,1187111257
Edmonson County,3,784464284
Elliott County,3,606873739
Estill County,3,655468626
Fayette County,3,734648526
Fleming County,3,902720074
Floyd County,3,1018758276
Franklin County,3,538061269
Fulton County,3,532251963
Gallatin County,3,262194985
Garrard County,3,595897447
Grant County,3,668125059
Graves County,3,1429006936
Grayson County,3,1286441869
Green County,3,740825297
Greenup County,3,891983450
Hancock County,3,486017475
Hardin County,3,1614282063
Harlan County,3,1206487719
Harrison County,3,793479419
Hart County,3,1067297497
Henderson County,3,1130968068
Henry County,3,741450181
Hickman County,3,627487774
Hopkins County,3,1403760753
Jackson County,3,894065212
Jefferson County,3,985273984
Jessamine County,3,445777146
Johnson County,3,678455744
Kenton County,3,415044980
Knott County,3,910427420
Knox County,3,1000505156
Larue County,3,677331504
Laurel County,3,1123932843
Lawrence County,3,1076386638
Lee County,3,540937729
Leslie County,3,1038181523
Letcher County,3,875192707
Lewis County,3,1250540292
Lincoln County,3,865301109
Livingston County,3,810995883
Logan County,3,1430013728
Lyon County,3,553843392
McCracken County,3,644243006
McCreary County,3,1105414665
McLean County,3,653905327
Madison County,3,1132583005
Magoffin County,3,798865721
Marion County,3,888387260
Marshall County,3,780240711
Martin County,3,594673664
Mason County,3,621927429
Meade County,3,791042872
Menifee County,3,527282371
Mercer County,3,644381848
Metcalfe County,3,750178224
Monroe County,3,853073262
Montgomery County,3,511174863
